year,d,time,clouds,pressure,humidity,rain,snow,temperature,dew_temperature,visibility,wind_direction,gust_speed,wind_speed,area
2016,101,0,7.0,1023.8,83.0,0.0,37.0,-30.0,-2.1,50000.0,175.0,14.9,10.3,4
2016,101,1,7.0,1024.4,83.0,0.0,33.0,-32.0,-2.3,50000.0,171.0,13.3,7.8,4
2016,101,2,7.0,1024.7,82.0,0.0,33.0,-32.0,-2.5,49840.0,172.0,13.3,8.7,4
2016,101,3,7.0,1025.5,82.0,0.0,33.0,-33.0,-2.6,50000.0,171.0,9.8,5.0,4
2016,101,4,7.0,1025.7,81.0,0.0,33.0,-31.0,-3.0,50000.0,192.0,13.7,7.4,4
2016,101,5,7.0,1026.2,81.0,0.0,33.0,-31.0,-3.1,50000.0,182.0,10.9,7.0,4
2016,101,6,7.0,1026.9,80.0,0.0,33.0,-32.0,-3.5,50000.0,194.0,12.6,6.5,4
2016,101,7,7.0,1027.6,79.0,0.0,32.0,-32.0,-4.1,50000.0,188.0,12.5,5.9,4
2016,101,8,7.0,1028.4,78.0,0.0,32.0,-31.0,-4.8,50000.0,196.0,16.2,7.1,4
2016,101,9,7.0,1028.9,80.0,0.0,32.0,-34.0,-4.8,37180.0,190.0,12.4,6.3,4
2016,101,10,7.0,1029.4,79.0,0.0,32.0,-37.0,-5.8,26200.0,202.0,15.6,8.9,4
2016,101,11,7.0,1030.0,80.0,0.0,32.0,-42.0,-5.9,45620.0,186.0,13.1,5.9,4
2016,101,12,7.0,1030.1,81.0,0.0,32.0,-42.0,-6.1,29170.0,198.0,15.0,9.8,4
2016,101,13,7.0,1030.3,81.0,0.0,32.0,-37.0,-6.2,31790.0,192.0,16.1,9.3,4
2016,101,14,7.0,1030.8,82.0,0.0,33.0,-37.0,-5.9,15910.0,182.0,13.1,7.4,4
2016,101,15,7.0,1031.1,84.0,0.0,33.0,-38.0,-5.4,5750.0,190.0,12.8,7.8,4
2016,101,16,7.0,1031.6,83.0,0.0,33.0,-39.0,-5.7,13810.0,188.0,13.9,8.2,4
2016,101,17,7.0,1031.9,83.0,0.0,33.0,-40.0,-5.7,45240.0,188.0,12.1,7.7,4
2016,101,18,8.0,1031.9,82.0,0.0,33.0,-40.0,-5.8,50000.0,184.0,12.5,7.9,4
2016,101,19,8.0,1032.0,82.0,0.0,33.0,-50.0,-5.8,50000.0,170.0,11.3,6.6,4
2016,101,20,8.0,1032.3,82.0,0.0,33.0,-61.0,-5.5,50000.0,173.0,9.9,5.3,4
2016,101,21,8.0,1033.1,83.0,0.0,33.0,-63.0,-5.4,50000.0,161.0,9.0,4.4,4
2016,101,22,8.0,1033.4,81.0,0.0,33.0,-63.0,-5.7,49880.0,189.0,12.7,8.8,4
2016,101,23,8.0,1034.0,83.0,0.0,33.0,-63.0,-5.6,30560.0,176.0,11.1,7.3,4
2016,102,0,8.0,1034.9,83.0,0.0,36.0,-60.0,-5.5,28250.0,170.0,8.1,3.5,4
2016,102,1,8.0,1035.2,85.0,0.0,33.0,-58.0,-5.4,21310.0,153.0,6.4,2.7,4
2016,102,2,8.0,1035.4,85.0,0.0,33.0,-54.0,-5.4,14780.0,187.0,14.1,8.4,4
2016,102,3,7.0,1035.4,86.0,0.0,33.0,-50.0,-5.4,35730.0,176.0,11.5,7.6,4
2016,102,4,8.0,1035.9,85.0,0.0,33.0,-49.0,-5.2,50000.0,170.0,10.0,7.1,4
2016,102,5,8.0,1036.1,85.0,0.0,33.0,-48.0,-5.3,50000.0,189.0,11.7,6.5,4
2016,102,6,8.0,1037.0,85.0,0.0,33.0,-49.0,-5.4,50000.0,178.0,10.2,5.5,4
2016,102,7,8.0,1037.9,85.0,0.0,33.0,-49.0,-5.3,37720.0,182.0,8.1,4.5,4
2016,102,8,8.0,1038.4,85.0,0.0,33.0,-50.0,-5.3,48930.0,186.0,7.5,4.8,4
2016,102,9,8.0,1039.0,85.0,0.0,33.0,-48.0,-5.6,41750.0,178.0,7.3,4.5,4
2016,102,10,8.0,1039.1,85.0,0.0,33.0,-46.0,-5.8,41380.0,175.0,6.0,4.1,4
2016,102,11,7.0,1039.4,87.0,0.0,32.0,-57.0,-6.1,42100.0,171.0,6.1,4.1,4
2016,102,12,7.0,1039.7,88.0,0.0,33.0,-68.0,-5.9,39890.0,166.0,6.2,4.1,4
2016,102,13,7.0,1040.1,88.0,0.0,33.0,-66.0,-5.4,38380.0,171.0,7.3,5.2,4
2016,102,14,8.0,1040.1,87.0,0.0,32.0,-63.0,-5.6,39760.0,169.0,6.0,4.6,4
2016,102,15,8.0,1040.7,88.0,0.0,33.0,-67.0,-5.5,38070.0,175.0,6.4,4.5,4
2016,102,16,8.0,1040.6,88.0,0.0,33.0,-64.0,-5.5,42400.0,172.0,4.9,2.2,4
2016,102,17,8.0,1040.5,90.0,0.0,33.0,-67.0,-5.3,39260.0,157.0,3.1,2.1,4
2016,102,18,8.0,1040.4,90.0,0.0,33.0,-80.0,-5.4,44200.0,161.0,3.7,2.5,4
2016,102,19,7.0,1040.4,90.0,0.0,32.0,-87.0,-6.4,40950.0,158.0,3.6,2.9,4
2016,102,20,8.0,1040.3,93.0,0.0,33.0,-97.0,-7.1,35440.0,140.0,2.3,1.6,4
2016,102,21,8.0,1040.1,91.0,0.0,32.0,-102.0,-7.5,38610.0,238.0,1.5,0.6,4
2016,102,22,8.0,1039.6,92.0,0.0,33.0,-106.0,-7.4,45200.0,210.0,1.2,0.8,4
2016,102,23,8.0,1039.2,92.0,0.0,33.0,-112.0,-7.4,44920.0,148.0,1.3,0.8,4
2016,103,0,8.0,1038.8,92.0,0.0,36.0,-114.0,-7.1,45620.0,166.0,2.3,1.5,4
2016,103,1,8.0,1038.7,93.0,0.0,33.0,-125.0,-6.7,37070.0,146.0,1.4,0.9,4
2016,103,2,8.0,1038.2,94.0,0.0,33.0,-136.0,-6.3,14380.0,149.0,1.5,0.9,4
2016,103,3,8.0,1037.8,96.0,0.0,33.0,-143.0,-5.6,4010.0,178.0,2.3,1.5,4
2016,103,4,8.0,1037.3,96.0,0.0,33.0,-148.0,-5.4,4640.0,42.0,1.5,0.8,4
2016,103,5,8.0,1036.1,95.0,0.0,33.0,-159.0,-5.5,23010.0,279.0,1.2,0.6,4
2016,103,6,8.0,1035.7,95.0,0.0,33.0,-166.0,-5.6,13370.0,0.0,1.1,0.0,4
2016,103,7,8.0,1035.5,95.0,0.0,33.0,-179.0,-5.6,7870.0,0.0,0.8,0.0,4
2016,103,8,8.0,1035.0,95.0,0.0,33.0,-189.0,-5.7,8550.0,323.0,1.3,0.8,4
2016,103,9,8.0,1034.5,96.0,0.0,33.0,-199.0,-5.3,4550.0,325.0,1.7,0.9,4
2016,103,10,8.0,1033.9,92.0,0.0,33.0,-203.0,-5.7,19900.0,134.0,7.3,4.6,4
2016,103,11,8.0,1033.6,89.0,0.0,33.0,-209.0,-7.2,10190.0,161.0,5.8,3.8,4
2016,103,12,8.0,1033.0,90.0,0.0,33.0,-216.0,-8.2,2800.0,175.0,1.7,1.1,4
2016,103,13,8.0,1032.4,90.0,0.0,33.0,-225.0,-7.9,6520.0,154.0,3.5,2.1,4
2016,103,14,8.0,1032.2,88.0,0.0,33.0,-236.0,-8.0,12430.0,162.0,8.1,5.1,4
2016,103,15,8.0,1032.0,89.0,0.0,33.0,-241.0,-8.2,26800.0,170.0,5.2,3.1,4
2016,103,16,8.0,1032.0,88.0,0.0,33.0,-237.0,-8.1,24950.0,170.0,6.9,4.2,4
2016,103,17,7.0,1031.6,87.0,0.0,33.0,-239.0,-8.5,50000.0,168.0,6.7,3.8,4
2016,103,18,7.0,1031.4,89.0,0.0,33.0,-246.0,-9.5,8950.0,170.0,6.2,3.6,4
2016,103,19,7.0,1031.5,89.0,0.0,33.0,-252.0,-10.2,41290.0,191.0,7.9,4.4,4
2016,103,20,5.0,1031.5,89.0,0.0,33.0,-260.0,-11.2,45530.0,205.0,5.9,4.3,4
2016,103,21,1.0,1031.5,89.0,0.0,32.0,-262.0,-11.7,35470.0,169.0,9.1,6.1,4
2016,103,22,0.0,1031.7,88.0,0.0,32.0,-259.0,-12.2,50000.0,181.0,10.1,7.0,4
2016,103,23,0.0,1031.7,89.0,0.0,32.0,-258.0,-12.7,50000.0,184.0,9.3,5.7,4
2016,104,0,0.0,1032.3,85.0,0.0,36.0,-262.0,-13.4,50000.0,184.0,9.6,6.1,4
2016,104,1,0.0,1032.1,82.0,0.0,32.0,-269.0,-14.9,50000.0,174.0,10.1,6.3,4
2016,104,2,0.0,1032.4,82.0,0.0,32.0,-273.0,-16.0,50000.0,205.0,7.2,4.5,4
2016,104,3,0.0,1032.6,82.0,0.0,32.0,-278.0,-16.8,50000.0,189.0,8.8,5.2,4
2016,104,4,3.0,1032.8,81.0,0.0,32.0,-280.0,-17.4,50000.0,178.0,9.3,5.8,4
2016,104,5,0.0,1033.0,82.0,0.0,32.0,-281.0,-18.2,50000.0,165.0,5.3,3.4,4
2016,104,6,0.0,1033.1,83.0,0.0,32.0,-282.0,-18.8,50000.0,170.0,2.9,2.0,4
2016,104,7,0.0,1033.6,83.0,0.0,32.0,-285.0,-20.1,50000.0,190.0,1.7,1.1,4
2016,104,8,1.0,1033.4,84.0,0.0,32.0,-274.0,-20.9,50000.0,152.0,3.5,2.9,4
2016,104,9,0.0,1033.1,83.0,0.0,32.0,-263.0,-22.1,46520.0,161.0,2.0,0.9,4
2016,104,10,0.0,1032.5,83.0,0.0,32.0,-266.0,-22.5,44100.0,163.0,4.2,3.3,4
2016,104,11,0.0,1032.0,81.0,0.0,32.0,-267.0,-23.3,45450.0,132.0,1.5,1.0,4
2016,104,12,0.0,1031.8,81.0,0.0,32.0,-258.0,-24.0,490.0,105.0,1.5,0.8,4
2016,104,13,0.0,1032.1,81.0,0.0,32.0,-247.0,-25.0,47960.0,0.0,1.1,0.0,4
2016,104,14,0.0,1032.2,78.0,0.0,32.0,-237.0,-26.3,15900.0,170.0,1.5,0.9,4
2016,104,15,1.0,1032.5,79.0,0.0,32.0,-225.0,-26.8,36610.0,234.0,1.1,0.6,4
2016,104,16,8.0,1031.9,81.0,0.0,33.0,-215.0,-26.1,1250.0,175.0,1.9,1.4,4
2016,104,17,5.0,1031.9,79.0,0.0,32.0,-207.0,-26.5,4940.0,142.0,2.7,1.6,4
2016,104,18,0.0,1031.1,77.0,0.0,32.0,-209.0,-27.4,23510.0,164.0,3.1,2.4,4
2016,104,19,0.0,1030.5,77.0,0.0,32.0,-208.0,-28.0,50000.0,159.0,2.6,1.6,4
2016,104,20,0.0,1030.0,77.0,0.0,32.0,-204.0,-28.9,50000.0,160.0,3.6,2.9,4
2016,104,21,7.0,1029.7,77.0,0.0,32.0,-213.0,-29.1,33140.0,161.0,2.6,2.0,4
2016,104,22,8.0,1029.5,77.0,0.0,32.0,-224.0,-28.7,25480.0,155.0,1.8,1.3,4
2016,104,23,8.0,1029.1,77.0,0.0,32.0,-234.0,-28.7,26370.0,156.0,2.1,1.7,4
