year,d,time,clouds,pressure,humidity,rain,snow,temperature,dew_temperature,visibility,wind_direction,gust_speed,wind_speed,area
2016,101,1,8.0,1037.8,79.0,0.0,0.0,-68.0,-7.0,50000.0,109.0,9.1,6.1,2
2016,101,2,7.0,1037.4,80.0,0.0,0.0,-68.0,-6.6,44530.0,125.0,8.9,5.8,2
2016,101,3,8.0,1037.5,80.0,0.0,0.0,-67.0,-6.3,19090.0,120.0,8.4,6.0,2
2016,101,4,8.0,1037.8,78.0,0.0,0.0,-64.0,-7.0,35890.0,103.0,8.0,4.8,2
2016,101,5,8.0,1038.0,80.0,0.0,0.0,-61.0,-7.2,50000.0,103.0,11.4,6.1,2
2016,101,6,8.0,1038.2,83.0,0.0,0.0,-59.0,-6.7,41500.0,95.0,10.7,6.0,2
2016,101,7,8.0,1038.5,85.0,0.0,0.0,-61.0,-6.4,32450.0,105.0,9.2,6.6,2
2016,101,8,8.0,1038.9,81.0,0.0,0.0,-64.0,-7.4,23960.0,102.0,8.9,5.8,2
2016,101,9,8.0,1039.1,80.0,0.0,0.0,-70.0,-7.8,24160.0,116.0,10.5,6.6,2
2016,101,10,7.0,1038.9,75.0,0.0,0.0,-73.0,-8.4,33130.0,106.0,10.7,7.0,2
2016,101,11,7.0,1039.0,75.0,0.0,0.0,-78.0,-8.6,9240.0,100.0,11.6,7.6,2
2016,101,12,7.0,1039.4,71.0,0.0,0.0,-78.0,-9.5,50000.0,92.0,10.1,6.5,2
2016,101,13,7.0,1039.5,72.0,0.0,0.0,-76.0,-9.2,50000.0,104.0,9.4,6.5,2
2016,101,14,7.0,1040.0,70.0,0.0,0.0,-74.0,-9.3,32070.0,92.0,10.1,6.2,2
2016,101,15,7.0,1040.2,69.0,0.0,0.0,-70.0,-9.3,50000.0,79.0,8.5,5.8,2
2016,101,16,7.0,1040.1,68.0,0.0,0.0,-68.0,-9.4,50000.0,84.0,12.0,8.0,2
2016,101,17,7.0,1040.7,75.0,0.0,0.0,-77.0,-9.0,47860.0,89.0,11.7,8.2,2
2016,101,18,7.0,1041.3,77.0,0.0,0.0,-80.0,-9.3,50000.0,102.0,11.0,7.9,2
2016,101,19,7.0,1042.0,79.0,0.0,0.0,-88.0,-9.5,49930.0,107.0,9.1,5.8,2
2016,101,20,5.0,1042.7,79.0,0.0,0.0,-94.0,-10.1,50000.0,102.0,8.7,5.6,2
2016,101,21,7.0,1043.2,78.0,0.0,0.0,-103.0,-10.1,50000.0,103.0,8.8,6.2,2
2016,101,22,5.0,1043.4,78.0,0.0,0.0,-109.0,-10.2,50000.0,110.0,8.0,5.1,2
2016,101,23,7.0,1043.8,78.0,0.0,0.0,-107.0,-10.5,48260.0,118.0,8.3,5.3,2
2016,102,0,7.0,1044.3,77.0,0.0,0.0,-107.0,-10.5,30620.0,112.0,8.0,6.0,2
2016,102,1,8.0,1044.7,76.0,0.0,0.0,-100.0,-10.2,16880.0,112.0,6.9,4.8,2
2016,102,2,7.0,1045.0,79.0,0.0,0.0,-100.0,-9.9,18780.0,117.0,7.4,4.2,2
2016,102,3,7.0,1045.3,71.0,0.0,0.0,-98.0,-11.0,32430.0,102.0,6.9,4.3,2
2016,102,4,8.0,1045.3,75.0,0.0,0.0,-97.0,-10.2,7480.0,106.0,6.8,4.2,2
2016,102,5,7.0,1045.4,71.0,0.0,0.0,-94.0,-10.6,19160.0,88.0,8.5,6.0,2
2016,102,6,7.0,1045.4,68.0,0.0,0.0,-90.0,-10.8,45780.0,81.0,9.9,5.5,2
2016,102,7,7.0,1045.8,73.0,0.0,0.0,-87.0,-10.1,13810.0,83.0,9.6,6.4,2
2016,102,8,7.0,1046.1,77.0,0.0,0.0,-89.0,-9.7,7080.0,92.0,10.4,6.5,2
2016,102,9,7.0,1046.4,81.0,0.0,0.0,-88.0,-9.6,4880.0,101.0,9.4,5.8,2
2016,102,10,7.0,1046.5,86.0,0.0,0.0,-88.0,-9.3,3180.0,118.0,9.7,7.1,2
2016,102,11,7.0,1046.6,82.0,0.0,0.0,-84.0,-10.3,10880.0,107.0,7.7,4.9,2
2016,102,12,7.0,1046.3,81.0,0.0,0.0,-84.0,-10.5,27480.0,110.0,5.7,4.0,2
2016,102,13,7.0,1046.1,83.0,0.0,0.0,-81.0,-10.1,17770.0,115.0,4.6,3.4,2
2016,102,14,7.0,1045.9,77.0,0.0,0.0,-83.0,-10.6,33370.0,114.0,4.6,3.2,2
2016,102,15,7.0,1045.6,76.0,0.0,0.0,-83.0,-10.4,27200.0,104.0,4.8,3.0,2
2016,102,16,7.0,1045.1,77.0,0.0,0.0,-83.0,-10.2,30220.0,113.0,2.4,1.6,2
2016,102,17,7.0,1044.7,87.0,0.0,0.0,-86.0,-9.5,8550.0,6.0,5.2,3.4,2
2016,102,18,7.0,1043.9,87.0,0.0,0.0,-91.0,-9.8,9260.0,3.0,5.0,3.3,2
2016,102,19,7.0,1043.3,86.0,0.0,0.0,-99.0,-10.7,13660.0,349.0,4.6,3.1,2
2016,102,20,7.0,1042.3,86.0,0.0,0.0,-96.0,-11.3,31620.0,354.0,4.4,3.3,2
2016,102,21,3.0,1041.5,84.0,0.0,0.0,-97.0,-12.4,34180.0,337.0,4.0,2.3,2
2016,102,22,7.0,1040.4,82.0,0.0,0.0,-94.0,-13.3,40040.0,336.0,3.9,2.5,2
2016,102,23,7.0,1039.3,82.0,0.0,0.0,-88.0,-13.2,49860.0,322.0,4.0,2.4,2
2016,103,0,7.0,1038.2,84.0,0.0,0.0,-62.0,-12.9,40520.0,310.0,4.0,2.2,2
2016,103,1,7.0,1036.9,84.0,0.0,0.0,-63.0,-12.3,47150.0,304.0,6.4,3.7,2
2016,103,2,7.0,1035.3,83.0,0.0,0.0,-63.0,-12.2,50000.0,303.0,7.6,4.4,2
2016,103,3,7.0,1033.3,82.0,0.0,0.0,-64.0,-12.3,50000.0,300.0,7.4,5.5,2
2016,103,4,7.0,1031.5,83.0,0.0,0.0,-94.0,-12.0,49540.0,303.0,8.2,5.1,2
2016,103,5,7.0,1029.3,83.0,0.0,0.0,-115.0,-11.7,50000.0,294.0,9.6,6.2,2
2016,103,6,7.0,1028.0,80.0,0.0,0.0,-131.0,-11.9,50000.0,304.0,9.4,5.6,2
2016,103,7,7.0,1026.6,79.0,0.0,0.0,-138.0,-11.8,15610.0,304.0,8.2,5.3,2
2016,103,8,9.0,1025.3,90.0,0.8,0.0,-140.0,-10.2,1340.0,321.0,8.1,4.7,2
2016,103,9,9.0,1024.5,91.0,0.5,2.0,-135.0,-10.0,2210.0,329.0,8.5,4.5,2
2016,103,10,9.0,1023.1,92.0,0.5,2.0,-129.0,-9.8,1350.0,330.0,8.0,4.4,2
2016,103,11,7.0,1022.3,91.0,0.0,2.0,-121.0,-9.6,15330.0,332.0,6.9,3.8,2
2016,103,12,7.0,1021.6,89.0,0.0,2.0,-124.0,-9.8,34360.0,349.0,6.4,3.9,2
2016,103,13,7.0,1020.8,88.0,0.0,2.0,-125.0,-9.8,12760.0,333.0,5.5,3.3,2
2016,103,14,7.0,1020.1,89.0,0.0,2.0,-126.0,-9.9,13310.0,337.0,3.8,2.1,2
2016,103,15,7.0,1019.6,88.0,0.0,2.0,-128.0,-9.8,18010.0,345.0,4.4,2.9,2
2016,103,16,7.0,1019.2,87.0,0.0,2.0,-127.0,-10.1,39760.0,5.0,4.8,2.9,2
2016,103,17,5.0,1018.8,87.0,0.0,2.0,-132.0,-10.4,18720.0,11.0,4.8,2.9,2
2016,103,18,8.0,1018.4,88.0,0.0,2.0,-137.0,-10.7,42290.0,9.0,4.1,2.1,2
2016,103,19,7.0,1018.1,89.0,0.0,2.0,-141.0,-11.4,43030.0,13.0,5.0,3.4,2
2016,103,20,8.0,1017.8,88.0,0.0,2.0,-145.0,-11.2,45660.0,4.0,5.5,3.4,2
2016,103,21,8.0,1017.5,89.0,0.0,2.0,-156.0,-11.2,50000.0,14.0,5.5,3.5,2
2016,103,22,8.0,1017.0,92.0,0.4,2.0,-167.0,-10.5,1910.0,6.0,8.1,4.9,2
2016,103,23,7.0,1016.6,93.0,0.0,0.0,-173.0,-9.8,20620.0,10.0,6.8,4.7,2
2016,104,0,9.0,1016.6,90.0,0.0,4.0,-179.0,-7.5,910.0,109.0,13.3,9.4,2
