year,d,time,clouds,pressure,humidity,rain,snow,temperature,dew_temperature,visibility,wind_direction,gust_speed,wind_speed,area
2016,101,1,0.0,1033.1,77.0,0.0,0.0,-120.0,0.0,50000.0,79.2,8.1,6.0,3
2016,101,2,0.0,1033.1,71.0,0.0,0.0,-119.0,0.0,50000.0,84.9,8.8,6.1,3
2016,101,3,0.0,1033.3,73.0,0.0,0.0,-121.0,0.0,50000.0,76.7,9.1,6.2,3
2016,101,4,0.0,1033.7,75.0,0.0,0.0,-122.0,0.0,50000.0,76.1,8.1,5.2,3
2016,101,5,0.0,1033.8,79.0,0.0,0.0,-127.0,0.0,50000.0,73.1,7.4,5.6,3
2016,101,6,0.0,1034.4,78.0,0.0,0.0,-128.0,0.0,50000.0,76.7,7.9,5.7,3
2016,101,7,0.0,1035.2,81.0,0.0,0.0,-131.0,0.0,50000.0,75.6,5.9,3.9,3
2016,101,8,0.0,1035.5,82.0,0.0,0.0,-139.0,0.0,50000.0,76.1,5.8,4.1,3
2016,101,9,0.0,1036.2,83.0,0.0,0.0,-142.0,0.0,50000.0,76.7,5.5,3.9,3
2016,101,10,0.0,1036.5,81.0,0.0,0.0,-134.0,0.0,50000.0,72.0,6.3,4.9,3
2016,101,11,0.0,1036.6,80.0,0.0,0.0,-129.0,0.0,50000.0,75.1,7.7,5.7,3
2016,101,12,0.0,1037.0,79.0,0.0,0.0,-134.0,0.0,50000.0,73.6,8.4,5.9,3
2016,101,13,0.0,1037.6,79.0,0.0,0.0,-153.0,0.0,50000.0,76.7,7.2,5.2,3
2016,101,14,0.0,1038.4,75.0,0.0,0.0,-153.0,0.0,50000.0,73.6,9.4,6.8,3
2016,101,15,0.0,1038.8,77.0,0.0,0.0,-160.0,0.0,50000.0,71.5,7.4,5.3,3
2016,101,16,0.0,1039.1,79.0,0.0,0.0,-150.0,0.0,50000.0,77.7,5.3,3.8,3
2016,101,17,0.0,1039.6,79.0,0.0,0.0,-141.0,0.0,50000.0,75.6,5.7,4.2,3
2016,101,18,0.0,1039.9,78.0,0.0,0.0,-143.0,0.0,50000.0,78.7,6.8,5.1,3
2016,101,19,0.0,1040.3,82.0,0.0,0.0,-143.0,0.0,50000.0,75.1,6.4,4.8,3
2016,101,20,0.0,1041.0,81.0,0.0,0.0,-137.0,0.0,24223.0,79.2,7.2,4.8,3
2016,101,21,0.0,1041.6,84.0,0.0,0.0,-130.0,0.0,50000.0,76.7,5.9,4.8,3
2016,101,22,0.0,1042.2,85.0,0.0,0.0,-125.0,0.0,50000.0,74.1,5.8,4.5,3
2016,101,23,0.0,1042.6,87.0,0.0,0.0,-118.0,0.0,50000.0,74.6,5.3,4.2,3
2016,102,0,0.0,1042.8,85.0,0.0,0.0,-113.0,0.0,50000.0,83.3,5.3,3.8,3
2016,102,1,0.0,1043.5,85.0,0.0,0.0,-106.0,0.0,50000.0,78.2,5.6,4.1,3
2016,102,2,0.0,1043.8,83.0,0.0,0.0,-103.0,0.0,50000.0,82.3,5.4,3.8,3
2016,102,3,0.0,1044.1,83.0,0.0,0.0,-100.0,0.0,50000.0,82.8,5.2,3.9,3
2016,102,4,0.0,1044.5,83.0,0.0,0.0,-100.0,0.0,50000.0,85.9,6.0,3.9,3
2016,102,5,0.0,1044.4,84.0,0.0,0.0,-97.0,0.0,50000.0,76.7,4.9,3.6,3
2016,102,6,0.0,1044.6,85.0,0.0,0.0,-91.0,0.0,50000.0,80.3,4.2,3.1,3
2016,102,7,0.0,1044.8,85.0,0.0,0.0,-81.0,0.0,50000.0,82.8,3.6,2.3,3
2016,102,8,0.0,1045.1,86.0,0.0,0.0,-75.0,0.0,50000.0,79.7,3.6,2.8,3
2016,102,9,0.0,1045.4,86.0,0.0,0.0,-73.0,0.0,50000.0,78.7,3.1,2.6,3
2016,102,10,0.0,1045.5,84.0,0.0,0.0,-72.0,0.0,50000.0,77.7,4.3,3.5,3
2016,102,11,0.0,1045.7,84.0,0.0,0.0,-69.0,0.0,50000.0,77.2,3.4,2.6,3
2016,102,12,0.0,1045.7,84.0,0.0,0.0,-74.0,0.0,50000.0,77.2,3.1,2.4,3
2016,102,13,0.0,1045.8,88.0,0.0,0.0,-79.0,0.0,50000.0,73.1,2.3,1.9,3
2016,102,14,0.0,1045.8,89.0,0.0,0.0,-81.0,0.0,50000.0,72.0,2.1,1.7,3
2016,102,15,0.0,1045.3,87.0,0.0,0.0,-89.0,0.0,50000.0,69.4,1.6,1.3,3
2016,102,16,0.0,1044.8,87.0,0.0,0.0,-87.0,0.0,50000.0,67.9,3.9,3.4,3
2016,102,17,0.0,1044.0,86.0,0.0,0.0,-87.0,0.0,48928.0,68.4,3.8,3.1,3
2016,102,18,0.0,1043.3,86.0,0.0,0.0,-118.0,0.0,50000.0,80.8,3.1,2.1,3
2016,102,19,0.0,1042.8,87.0,0.0,0.0,-136.0,0.0,41156.0,84.9,2.6,1.3,3
2016,102,20,0.0,1042.2,88.0,0.0,0.0,-149.0,0.0,50000.0,83.3,2.5,1.9,3
2016,102,21,0.0,1041.6,88.0,0.0,0.0,-158.0,0.0,48768.0,71.0,3.3,2.4,3
2016,102,22,0.0,1040.6,88.0,0.0,0.0,-163.0,0.0,44830.0,73.1,1.6,1.1,3
2016,102,23,0.0,1039.8,88.0,0.0,0.0,-169.0,0.0,50000.0,79.7,3.1,2.1,3
2016,103,0,0.0,1038.4,89.0,0.0,0.0,-173.0,0.0,36527.0,101.9,2.0,1.4,3
2016,103,1,0.0,1037.4,89.0,0.0,0.0,-176.0,0.0,50000.0,67.4,2.5,1.6,3
2016,103,2,0.0,1036.1,89.0,0.0,0.0,-179.0,0.0,35223.0,68.9,1.5,0.7,3
2016,103,3,0.0,1034.8,90.0,0.0,0.0,-181.0,0.0,45115.0,67.9,2.6,2.0,3
2016,103,4,0.0,1033.8,90.0,0.0,0.0,-183.0,0.0,50000.0,38.6,1.2,0.7,3
2016,103,5,0.0,1032.7,90.0,0.0,0.0,-182.0,0.0,28353.0,7.2,1.6,1.0,3
2016,103,6,0.0,1031.5,91.0,0.0,0.0,-180.0,0.0,10422.0,1.5,2.1,1.2,3
2016,103,7,0.0,1030.4,91.0,0.0,0.0,-179.0,0.0,25255.0,180.6,2.1,1.3,3
2016,103,8,0.0,1029.0,87.0,0.0,0.0,-175.0,0.0,50000.0,6.7,4.4,2.8,3
2016,103,9,0.0,1028.0,87.0,0.0,0.0,-170.0,0.0,50000.0,3.1,4.1,2.6,3
2016,103,10,0.0,1026.6,87.0,0.0,0.0,-164.0,0.0,50000.0,13.9,5.9,3.1,3
2016,103,11,0.0,1025.5,86.0,0.0,0.0,-161.0,0.0,50000.0,15.9,5.5,2.8,3
2016,103,12,0.0,1024.8,88.0,0.0,0.0,-159.0,0.0,50000.0,27.8,4.8,2.9,3
2016,103,13,0.0,1024.1,90.0,0.0,0.0,-152.0,0.0,50000.0,21.6,3.6,2.1,3
2016,103,14,0.0,1023.7,91.0,0.0,0.0,-149.0,0.0,50000.0,20.1,2.4,1.5,3
2016,103,15,0.0,1023.5,90.0,0.0,0.0,-153.0,0.0,36215.0,21.6,3.2,1.6,3
2016,103,16,0.0,1023.7,84.0,0.0,0.0,-153.0,0.0,13770.0,42.2,4.8,3.1,3
2016,103,17,0.0,1023.5,78.0,0.0,0.0,-131.0,0.0,12851.0,45.8,9.9,6.6,3
2016,103,18,0.0,1024.6,70.0,0.0,0.0,-131.0,0.0,31380.0,54.0,12.1,8.5,3
2016,103,19,0.0,1025.7,68.0,0.0,0.0,-133.0,0.0,49956.0,56.6,12.2,9.3,3
2016,103,20,0.0,1026.5,67.0,0.0,0.0,-140.0,0.0,50000.0,47.8,8.2,5.8,3
2016,103,21,0.0,1026.5,68.0,0.0,0.0,-138.0,0.0,50000.0,39.6,6.8,4.3,3
2016,103,22,0.0,1026.5,70.0,0.0,0.0,-129.0,0.0,50000.0,44.8,7.2,5.0,3
2016,103,23,0.0,1026.5,74.0,0.0,0.0,-136.0,0.0,50000.0,43.7,6.2,4.2,3
2016,104,0,0.0,1026.6,75.0,0.0,0.0,-132.0,0.0,50000.0,46.3,6.9,4.4,3
2016,104,1,0.0,1026.2,75.0,0.0,0.0,-124.0,0.0,50000.0,45.8,5.9,3.8,3
2016,104,2,0.0,1026.1,76.0,0.0,0.0,-127.0,0.0,50000.0,43.7,5.0,2.8,3
2016,104,3,0.0,1026.0,77.0,0.0,0.0,-129.0,0.0,50000.0,37.6,4.3,2.2,3
2016,104,4,0.0,1025.6,77.0,0.0,0.0,-128.0,0.0,50000.0,44.2,4.8,2.4,3
2016,104,5,0.0,1025.1,76.0,0.0,0.0,-132.0,0.0,50000.0,38.6,4.7,2.2,3
2016,104,6,0.0,1024.7,77.0,0.0,0.0,-130.0,0.0,50000.0,39.6,4.1,2.6,3
2016,104,7,0.0,1024.1,79.0,0.0,0.0,-127.0,0.0,50000.0,32.4,4.3,2.2,3
2016,104,8,0.0,1023.7,79.0,0.0,0.0,-133.0,0.0,50000.0,30.4,4.5,2.5,3
2016,104,9,0.0,1022.7,78.0,0.0,0.0,-150.0,0.0,50000.0,30.9,4.9,2.3,3
2016,104,10,0.0,1021.7,77.0,0.0,0.0,-156.0,0.0,50000.0,26.8,3.1,1.7,3
