Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2016,1,1,00:00,UTC,7,1023.8,83,0,37,0.5,-2.1,50000,175,14.9,10.3
2016,1,1,01:00,UTC,7,1024.4,83,0,33,0.3,-2.3,50000,171,13.3,7.8
2016,1,1,02:00,UTC,7,1024.7,82,0,33,0.2,-2.5,49840,172,13.3,8.7
2016,1,1,03:00,UTC,7,1025.5,82,0,33,0,-2.6,50000,171,9.8,5
2016,1,1,04:00,UTC,7,1025.7,81,0,33,-0.1,-3,50000,192,13.7,7.4
2016,1,1,05:00,UTC,7,1026.2,81,0,33,-0.3,-3.1,50000,182,10.9,7
2016,1,1,06:00,UTC,7,1026.9,80,0,33,-0.5,-3.5,50000,194,12.6,6.5
2016,1,1,07:00,UTC,7,1027.6,79,0,32,-1,-4.1,50000,188,12.5,5.9
2016,1,1,08:00,UTC,7,1028.4,78,0,32,-1.5,-4.8,50000,196,16.2,7.1
2016,1,1,09:00,UTC,7,1028.9,80,0,32,-1.8,-4.8,37180,190,12.4,6.3
2016,1,1,10:00,UTC,7,1029.4,79,0,32,-2.7,-5.8,26200,202,15.6,8.9
2016,1,1,11:00,UTC,7,1030,80,0,32,-2.9,-5.9,45620,186,13.1,5.9
2016,1,1,12:00,UTC,7,1030.1,81,0,32,-3.3,-6.1,29170,198,15,9.8
2016,1,1,13:00,UTC,7,1030.3,81,0,32,-3.5,-6.2,31790,192,16.1,9.3
2016,1,1,14:00,UTC,7,1030.8,82,0,33,-3.3,-5.9,15910,182,13.1,7.4
2016,1,1,15:00,UTC,7,1031.1,84,0,33,-3.2,-5.4,5750,190,12.8,7.8
2016,1,1,16:00,UTC,7,1031.6,83,0,33,-3.2,-5.7,13810,188,13.9,8.2
2016,1,1,17:00,UTC,7,1031.9,83,0,33,-3.2,-5.7,45240,188,12.1,7.7
2016,1,1,18:00,UTC,8,1031.9,82,0,33,-3.3,-5.8,50000,184,12.5,7.9
2016,1,1,19:00,UTC,8,1032,82,0,33,-3.2,-5.8,50000,170,11.3,6.6
2016,1,1,20:00,UTC,8,1032.3,82,0,33,-2.9,-5.5,50000,173,9.9,5.3
2016,1,1,21:00,UTC,8,1033.1,83,0,33,-2.9,-5.4,50000,161,9,4.4
2016,1,1,22:00,UTC,8,1033.4,81,0,33,-2.9,-5.7,49880,189,12.7,8.8
2016,1,1,23:00,UTC,8,1034,83,0,33,-3.1,-5.6,30560,176,11.1,7.3
2016,1,2,00:00,UTC,8,1034.9,83,0,36,-3,-5.5,28250,170,8.1,3.5
2016,1,2,01:00,UTC,8,1035.2,85,0,33,-3.2,-5.4,21310,153,6.4,2.7
2016,1,2,02:00,UTC,8,1035.4,85,0,33,-3.2,-5.4,14780,187,14.1,8.4
2016,1,2,03:00,UTC,7,1035.4,86,0,33,-3.3,-5.4,35730,176,11.5,7.6
2016,1,2,04:00,UTC,8,1035.9,85,0,33,-3.1,-5.2,50000,170,10,7.1
2016,1,2,05:00,UTC,8,1036.1,85,0,33,-3.1,-5.3,50000,189,11.7,6.5
2016,1,2,06:00,UTC,8,1037,85,0,33,-3.2,-5.4,50000,178,10.2,5.5
2016,1,2,07:00,UTC,8,1037.9,85,0,33,-3.2,-5.3,37720,182,8.1,4.5
2016,1,2,08:00,UTC,8,1038.4,85,0,33,-3.1,-5.3,48930,186,7.5,4.8
2016,1,2,09:00,UTC,8,1039,85,0,33,-3.4,-5.6,41750,178,7.3,4.5
2016,1,2,10:00,UTC,8,1039.1,85,0,33,-3.7,-5.8,41380,175,6,4.1
2016,1,2,11:00,UTC,7,1039.4,87,0,32,-4.2,-6.1,42100,171,6.1,4.1
2016,1,2,12:00,UTC,7,1039.7,88,0,33,-4.2,-5.9,39890,166,6.2,4.1
2016,1,2,13:00,UTC,7,1040.1,88,0,33,-3.7,-5.4,38380,171,7.3,5.2
2016,1,2,14:00,UTC,8,1040.1,87,0,32,-3.7,-5.6,39760,169,6,4.6
2016,1,2,15:00,UTC,8,1040.7,88,0,33,-3.8,-5.5,38070,175,6.4,4.5
2016,1,2,16:00,UTC,8,1040.6,88,0,33,-3.9,-5.5,42400,172,4.9,2.2
2016,1,2,17:00,UTC,8,1040.5,90,0,33,-4,-5.3,39260,157,3.1,2.1
2016,1,2,18:00,UTC,8,1040.4,90,0,33,-4,-5.4,44200,161,3.7,2.5
2016,1,2,19:00,UTC,7,1040.4,90,0,32,-5,-6.4,40950,158,3.6,2.9
2016,1,2,20:00,UTC,8,1040.3,93,0,33,-6.1,-7.1,35440,140,2.3,1.6
2016,1,2,21:00,UTC,8,1040.1,91,0,32,-6.3,-7.5,38610,238,1.5,0.6
2016,1,2,22:00,UTC,8,1039.6,92,0,33,-6.3,-7.4,45200,210,1.2,0.8
2016,1,2,23:00,UTC,8,1039.2,92,0,33,-6.3,-7.4,44920,148,1.3,0.8
2016,1,3,00:00,UTC,8,1038.8,92,0,36,-6,-7.1,45620,166,2.3,1.5
2016,1,3,01:00,UTC,8,1038.7,93,0,33,-5.8,-6.7,37070,146,1.4,0.9
2016,1,3,02:00,UTC,8,1038.2,94,0,33,-5.4,-6.3,14380,149,1.5,0.9
2016,1,3,03:00,UTC,8,1037.8,96,0,33,-5,-5.6,4010,178,2.3,1.5
2016,1,3,04:00,UTC,8,1037.3,96,0,33,-4.9,-5.4,4640,42,1.5,0.8
2016,1,3,05:00,UTC,8,1036.1,95,0,33,-4.8,-5.5,23010,279,1.2,0.6
2016,1,3,06:00,UTC,8,1035.7,95,0,33,-4.9,-5.6,13370,0,1.1,0
2016,1,3,07:00,UTC,8,1035.5,95,0,33,-4.9,-5.6,7870,0,0.8,0
2016,1,3,08:00,UTC,8,1035,95,0,33,-5,-5.7,8550,323,1.3,0.8
2016,1,3,09:00,UTC,8,1034.5,96,0,33,-4.8,-5.3,4550,325,1.7,0.9
2016,1,3,10:00,UTC,8,1033.9,92,0,33,-4.6,-5.7,19900,134,7.3,4.6
2016,1,3,11:00,UTC,8,1033.6,89,0,33,-5.7,-7.2,10190,161,5.8,3.8
2016,1,3,12:00,UTC,8,1033,90,0,33,-6.8,-8.2,2800,175,1.7,1.1
2016,1,3,13:00,UTC,8,1032.4,90,0,33,-6.6,-7.9,6520,154,3.5,2.1
2016,1,3,14:00,UTC,8,1032.2,88,0,33,-6.3,-8,12430,162,8.1,5.1
2016,1,3,15:00,UTC,8,1032,89,0,33,-6.7,-8.2,26800,170,5.2,3.1
2016,1,3,16:00,UTC,8,1032,88,0,33,-6.4,-8.1,24950,170,6.9,4.2
2016,1,3,17:00,UTC,7,1031.6,87,0,33,-6.7,-8.5,50000,168,6.7,3.8
2016,1,3,18:00,UTC,7,1031.4,89,0,33,-8,-9.5,8950,170,6.2,3.6
2016,1,3,19:00,UTC,7,1031.5,89,0,33,-8.7,-10.2,41290,191,7.9,4.4
