Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2015,1,1,00:00,UTC,7,1010.7,89,0,10,3.3,1.6,13700,259,7.1,4.4
2015,1,1,01:00,UTC,7,1010.5,89,0,9,3.2,1.5,17390,254,6.5,4.6
2015,1,1,02:00,UTC,5,1010.5,90,0,10,3,1.6,18170,251,6.3,4.3
2015,1,1,03:00,UTC,7,1010.1,91,0,9,2.6,1.3,18620,240,6.4,4.2
2015,1,1,04:00,UTC,7,1009.7,89,0,9,3.3,1.7,30320,236,5.4,3.7
2015,1,1,05:00,UTC,7,1009.4,89,0,10,3.4,1.8,36370,240,7.1,5.2
2015,1,1,06:00,UTC,7,1009.2,86,0,9,3.7,1.5,46960,251,5.9,3.9
2015,1,1,07:00,UTC,7,1008.8,90,0,9,3.1,1.6,33600,209,2.7,2.2
2015,1,1,08:00,UTC,7,1008.4,91,0,9,2.7,1.4,35590,208,5.5,3.7
2015,1,1,09:00,UTC,8,1008.1,94,0,9,2.4,1.5,1790,215,7.7,5.3
2015,1,1,10:00,UTC,9,1006.9,95,0,8,2.3,1.6,1050,219,5.6,3.5
2015,1,1,11:00,UTC,8,1006.6,96,0,8,1.8,1.2,3970,227,9.3,6.2
2015,1,1,12:00,UTC,7,1005.9,96,0,8,1.9,1.3,6220,237,7.9,5.5
2015,1,1,13:00,UTC,8,1005.3,96,0,8,1.9,1.3,8660,226,7.1,4.7
2015,1,1,14:00,UTC,8,1004.6,96,0,8,1.9,1.3,9940,229,8.4,5.1
2015,1,1,15:00,UTC,8,1004.4,92,0,7,2.2,1,13310,234,8.9,5.6
2015,1,1,16:00,UTC,8,1003.7,90,0,7,2.4,0.9,14570,238,7.4,5.2
2015,1,1,17:00,UTC,8,1003,90,0,7,2.8,1.3,16640,238,7.4,4.8
2015,1,1,18:00,UTC,8,1002.9,89,0,7,3.2,1.5,18870,240,9.4,6.9
2015,1,1,19:00,UTC,8,1002.4,90,0,6,3.4,2,12570,244,9.8,6.2
2015,1,1,20:00,UTC,8,1001.9,89,0,6,3.7,2,33570,246,7.6,4.8
2015,1,1,21:00,UTC,8,1001.6,87,0,6,4,1.9,49310,242,8.3,5.8
2015,1,1,22:00,UTC,8,1001,87,0,5,3.9,1.9,49490,242,8.3,6.1
2015,1,1,23:00,UTC,8,1000.2,87,0,5,3.9,2,49470,232,6.6,4.5
2015,1,2,00:00,UTC,8,999.4,90,0,5,3.5,2,37770,221,6.4,4.3
2015,1,2,01:00,UTC,8,998.3,91,0,5,3.6,2.2,29510,226,7,4.5
2015,1,2,02:00,UTC,8,997.1,91,0,5,3.8,2.5,26980,229,6.2,4.1
2015,1,2,03:00,UTC,8,995.6,91,0,4,3.6,2.3,19950,223,7.3,4.5
2015,1,2,04:00,UTC,8,994.8,93,0,4,3.6,2.5,11090,220,8,5.5
2015,1,2,05:00,UTC,7,992.7,95,1,4,3.9,3.1,5710,201,9,5.5
2015,1,2,06:00,UTC,8,990.1,95,0.9,3,3.9,3.2,8320,195,14.5,9.8
2015,1,2,07:00,UTC,8,987.7,95,0.1,3,4,3.2,7460,178,12.5,8.1
2015,1,2,08:00,UTC,7,985.3,95,0,2,3.7,2.9,9150,182,14.5,8.4
2015,1,2,09:00,UTC,8,982.4,94,1,2,3.5,2.7,5320,177,14.2,8.4
2015,1,2,10:00,UTC,8,980,94,0.4,2,3.6,2.8,2530,193,18.9,11.8
2015,1,2,11:00,UTC,8,977.5,94,2.8,0,3.6,2.8,3130,199,15.7,9.8
2015,1,2,12:00,UTC,8,974.6,95,0.8,0,3.9,3.1,3900,199,16.9,11.7
2015,1,2,13:00,UTC,8,972.3,95,0.3,0,4.4,3.7,4420,206,13.6,8.6
2015,1,2,14:00,UTC,8,971,94,0.6,0,4.9,4,6300,213,11.5,7.8
2015,1,2,15:00,UTC,8,970.4,87,0.5,0,5.5,3.4,50000,238,13.9,9.4
2015,1,2,16:00,UTC,8,971.4,85,0,0,4,1.7,12840,247,18.4,11.9
2015,1,2,17:00,UTC,7,972.1,80,0,0,3.5,0.4,50000,259,17.7,11.2
2015,1,2,18:00,UTC,8,973.1,73,0,0,3.8,-0.6,47240,254,21,12.8
2015,1,2,19:00,UTC,7,974.4,72,0,0,3.5,-1.1,50000,254,21.4,11.4
2015,1,2,20:00,UTC,7,975.2,71,0,0,3.4,-1.4,50000,256,19.7,10.9
2015,1,2,21:00,UTC,1,975.4,72,0,0,3,-1.6,50000,252,15.6,11.2
2015,1,2,22:00,UTC,8,975.7,70,0,0,2.9,-2,50000,250,14.8,8.8
2015,1,2,23:00,UTC,7,975.6,69,0,0,2.8,-2.4,50000,245,14.7,9.8
2015,1,3,00:00,UTC,8,975.1,65,0,0,2.8,-3.2,50000,244,17.1,10.8
2015,1,3,01:00,UTC,7,974.9,64,0,0,2.5,-3.5,50000,243,14.2,9.7
2015,1,3,02:00,UTC,7,974.5,67,0,0,2.4,-3,49190,243,16.4,10.4
2015,1,3,03:00,UTC,8,973.8,85,0,0,1.2,-1,12570,240,15.1,10.4
2015,1,3,04:00,UTC,8,973.1,87,0,0,1.2,-0.7,12850,242,17.1,9.5
2015,1,3,05:00,UTC,8,973,82,0,0,2,-0.8,26060,252,14.5,9.9
2015,1,3,06:00,UTC,8,972.8,79,0,0,2.5,-0.9,50000,251,15.7,10.5
2015,1,3,07:00,UTC,8,972.7,80,0,0,2.6,-0.5,16420,252,17.1,11.1
2015,1,3,08:00,UTC,7,972.7,85,0,0,2.3,-0.1,13590,254,14.2,9.3
2015,1,3,09:00,UTC,7,972.9,88,0.1,0,2.1,0.2,12220,259,15,9
2015,1,3,10:00,UTC,8,973.2,89,0.4,0,1.8,0.2,10250,260,14.3,8.7
2015,1,3,11:00,UTC,8,973.4,88,0,0,1.8,0.1,10200,264,15.9,9.3
