Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2016,1,1,00:00,UTC,8,1037.5,80,0,0,-3.8,-6.8,50000,150,8.2,5.2
2016,1,1,01:00,UTC,8,1037.8,80,0,0,-4,-6.9,50000,145,9.6,6.3
2016,1,1,02:00,UTC,8,1037.5,79,0,0,-3.8,-6.8,41530,154,6.7,4.6
2016,1,1,03:00,UTC,8,1037.5,83,0,0,-3.4,-5.9,30000,131,6.3,4.5
2016,1,1,04:00,UTC,8,1037.9,79,0,0,-3.9,-7,50000,130,6.8,5.2
2016,1,1,05:00,UTC,8,1037.9,82,0,0,-4.3,-6.9,50000,128,9.6,7.1
2016,1,1,06:00,UTC,8,1038.1,86,0,0,-4.4,-6.4,40000,133,9.7,6.7
2016,1,1,07:00,UTC,8,1038.6,81,0,0,-4.4,-7.1,14730,123,11.5,7.2
2016,1,1,08:00,UTC,8,1038.9,81,0,0,-4.5,-7.4,10410,130,8.9,6.4
2016,1,1,09:00,UTC,8,1039.2,79,0,0,-4.8,-7.9,15000,116,8.1,5.7
2016,1,1,10:00,UTC,8,1039.1,79,0,0,-4.8,-7.8,15660,140,7.9,6
2016,1,1,11:00,UTC,8,1039.2,87,0,0,-5.2,-7.1,3250,106,7.5,5.3
2016,1,1,12:00,UTC,7,1039.5,73,0,0,-5.4,-9.4,40000,124,8.9,6.5
2016,1,1,13:00,UTC,8,1039.8,75,0,0,-5.4,-9,35320,110,7.3,5.3
2016,1,1,14:00,UTC,8,1040.3,76,0,0,-5.7,-9.4,41660,89,6.1,4.5
2016,1,1,15:00,UTC,8,1040.5,74,0,0,-5.7,-9.6,40000,88,6.8,4.6
2016,1,1,16:00,UTC,8,1040.3,74,0,0,-5.7,-9.6,47690,97,7.5,5.3
2016,1,1,17:00,UTC,8,1040.9,74,0,0,-5.5,-9.5,50000,121,11.9,7.6
2016,1,1,18:00,UTC,8,1041.4,77,0,0,-5.7,-9.1,40000,118,8.8,5.6
2016,1,1,19:00,UTC,8,1042,79,0,0,-6,-9.2,50000,129,9.4,6.6
2016,1,1,20:00,UTC,7,1042.8,79,0,0,-6.6,-9.5,50000,145,8.2,6.1
2016,1,1,21:00,UTC,5,1043.3,78,0,0,-7.1,-10.3,50000,136,8.1,6.2
2016,1,1,22:00,UTC,5,1043.6,78,0,0,-7.4,-10.6,50000,133,7.5,5.2
2016,1,1,23:00,UTC,8,1044,78,0,0,-6.8,-10,11060,137,6.8,4.8
